,term,coef,antonyms,antonym_source,annotated_causal_from_vocab,annotated_causal_from_train,annotated_causal_from_top,top_term,closest_ops_sim
0,great,2.166,"{'little': -0.289, 'worst': -2.915}",antonym,1.0,1.0,1.0,1.0,1.0
1,amazing,1.926,"{'unimpressive': -0.462, 'ugly': -0.681, 'ineffective': -1.062}",synonym_antonym,1.0,1.0,1.0,1.0,0.952
2,excellent,1.64,"{'inferior': -0.644, 'worst': -2.915, 'low': -0.399}",antonym,1.0,1.0,1.0,1.0,1.0
3,fantastic,1.6380000000000001,"{'unimpressive': -0.462, 'inferior': -0.644}",antonym,1.0,1.0,1.0,1.0,1.0
4,wonderful,1.495,"{'unimpressive': -0.462, 'inferior': -0.644}",antonym,1.0,1.0,1.0,1.0,1.0
5,exciting,1.311,{'uninteresting': -0.361},antonym,1.0,1.0,0.0,0.0,0.904
6,beautiful,1.276,"{'unattractive': -0.345, 'awkward': -0.252, 'ugly': -0.681}",antonym,1.0,1.0,1.0,1.0,0.0
7,enjoyed,1.274,{'dislike': -0.877},antonym,1.0,1.0,1.0,1.0,1.0
8,brilliant,1.268,{'inferior': -0.644},antonym,1.0,1.0,0.0,0.0,0.0
9,best,1.2670000000000001,"{'bad': -1.959, 'inferior': -0.644, 'worst': -2.915, 'side': -0.243, 'bottom': -0.419}",antonym,1.0,1.0,1.0,1.0,0.0
10,unpredictable,1.253,{'predictable': -1.52},antonym,0.0,0.0,0.0,0.0,0.0
11,superb,1.247,"{'inferior': -0.644, 'low': -0.399}",antonym,1.0,1.0,1.0,1.0,0.95
12,awesome,1.202,{'unimpressive': -0.462},antonym,1.0,1.0,1.0,1.0,1.0
13,inspired,1.193,"{'ugly': -0.681, 'unimpressive': -0.462}",antonym,1.0,1.0,0.0,0.0,0.0
14,good,1.1909999999999998,"{'bad': -1.959, 'worst': -2.915, 'worse': -1.188}",antonym,1.0,1.0,0.0,0.0,0.0
15,wonderfully,1.1340000000000001,"{'unimpressive': -0.462, 'inferior': -0.644}",synonym_antonym,1.0,1.0,1.0,1.0,0.0
16,love,1.129,{'hate': -1.427},antonym,1.0,1.0,1.0,1.0,0.0
17,pleasant,1.1059999999999999,{'unpleasant': -0.333},antonym,1.0,1.0,0.0,0.0,0.0
18,perfect,1.101,"{'old': -0.252, 'head': -0.287, 'dull': -1.881, 'dislike': -0.877, 'miss': -0.35}",synonym_antonym,1.0,1.0,1.0,1.0,1.0
19,fascinating,1.035,"{'uninteresting': -0.361, 'unappealing': -0.211}",antonym,1.0,1.0,0.0,0.0,0.0
20,loved,1.034,{'worthless': -0.359},antonym,1.0,1.0,1.0,1.0,0.96
21,intelligent,0.988,"{'stupidity': -0.277, 'stupid': -1.579, 'unintelligent': -0.471}",antonym,1.0,1.0,1.0,1.0,1.0
22,fabulous,0.985,"{'credible': -0.222, 'unpleasant': -0.333, 'unattractive': -0.345, 'humorless': -0.308, 'ugly': -0.681}",synonym_antonym,1.0,1.0,0.0,0.0,0.945
23,outstanding,0.982,"{'inferior': -0.644, 'little': -0.289}",antonym,1.0,1.0,0.0,0.0,1.0
24,hilarious,0.956,"{'humorless': -0.308, 'mild': -0.299}",antonym,1.0,1.0,0.0,0.0,0.0
25,masterpiece,0.9540000000000001,{'fail': -0.441},antonym,1.0,1.0,0.0,0.0,0.0
26,perfectly,0.9390000000000001,"{'living': -0.962, 'live': -0.548}",antonym,1.0,1.0,1.0,1.0,0.899
27,enjoyable,0.935,{'unpleasant': -0.333},antonym,1.0,1.0,0.0,0.0,0.0
28,lucky,0.898,{'unfortunate': -0.386},antonym,1.0,1.0,0.0,0.0,0.0
29,professional,0.89,{'amateur': -0.277},synonym_antonym,1.0,1.0,0.0,0.0,0.0
30,clever,0.884,"{'stupid': -1.579, 'slow': -0.744, 'mild': -0.299}",antonym,1.0,1.0,0.0,0.0,0.0
31,fortunately,0.856,"{'unfortunately': -1.285, 'alas': -0.789}",antonym,1.0,1.0,0.0,0.0,0.0
32,funny,0.855,{'humorless': -0.308},antonym,1.0,1.0,0.0,0.0,0.0
33,solid,0.85,"{'lose': -0.328, 'hate': -1.427, 'miss': -0.35, 'low': -0.399, 'inferior': -0.644, 'bottom': -0.419, 'side': -0.243}",synonym_antonym,1.0,1.0,0.0,0.0,0.0
34,genius,0.8390000000000001,{'stupidity': -0.277},synonym_antonym,1.0,1.0,1.0,1.0,0.0
35,liked,0.835,"{'disliked': -0.902, 'unlikeable': -0.74}",antonym,1.0,1.0,1.0,1.0,0.0
36,smart,0.833,"{'stupid': -1.579, 'unintelligent': -0.471, 'failure': -0.707}",antonym,1.0,1.0,0.0,0.0,0.0
37,hot,0.8079999999999999,{'cold': -0.46},antonym,0.0,0.0,0.0,1.0,0.0
38,special,0.807,{'general': -0.433},antonym,0.0,0.0,0.0,1.0,0.0
39,ahead,0.79,{'low': -0.399},antonym,0.0,0.0,0.0,1.0,0.0
40,captivating,0.779,"{'unattractive': -0.345, 'uninteresting': -0.361}",antonym,1.0,1.0,0.0,0.0,0.0
41,complaint,0.759,"{'calm': -0.168, 'empty': -0.278, 'lose': -0.328}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
42,gives,0.755,"{'lose': -0.328, 'low': -0.399, 'take': -0.165, 'lack': -0.445, 'ignore': -0.158}",synonym_antonym,0.0,0.0,0.0,1.0,0.0
43,likable,0.7390000000000001,"{'disliked': -0.902, 'unappealing': -0.211}",antonym,1.0,1.0,0.0,0.0,0.0
44,interesting,0.7340000000000001,"{'uninteresting': -0.361, 'humorless': -0.308}",antonym,1.0,1.0,1.0,1.0,0.0
45,charming,0.727,{'ugly': -0.681},antonym,1.0,1.0,1.0,1.0,0.0
46,realistic,0.727,"{'unreal': -0.428, 'unrealistic': -0.503, 'impossible': -0.543}",antonym,1.0,1.0,1.0,1.0,0.0
47,unforgettable,0.727,{'forgettable': -1.078},antonym,1.0,1.0,0.0,0.0,0.0
48,delight,0.721,{'pain': -0.574},antonym,1.0,1.0,0.0,0.0,0.895
49,know,0.7170000000000001,{'ignore': -0.158},antonym,0.0,0.0,0.0,1.0,0.0
50,delicious,0.706,"{'unpleasant': -0.333, 'unattractive': -0.345, 'humorless': -0.308, 'ugly': -0.681}",synonym_antonym,0.0,0.0,0.0,0.0,0.0
51,convincing,0.6920000000000001,{'unconvincing': -0.587},antonym,1.0,1.0,0.0,0.0,0.0
