,text,rating,label,ctf_text,ctf_label,ctf_by,flag
3,"The story was good, but I was getting very irritated at all the grammatical and spelling errors",2,-1,the story was good but i was getting very irritated at all the grammatical and spelling ability,1,causal,train
6,REALLY enjoyed this series and am hopeful there will be a book 5 to give me some closure on some of the other characters,4,1,really stand this series and am hopeful there will be a book 5 to give me some closure on some of the other characters,-1,causal,val
8,"The lead character was successful and not as sad as usual, but the chemistry was lacking for me",1,-1, ,1,causal,train
17,"I liked the characters though,  I would have loved to see how Dylan would have handled their relationship",2,-1,i liked the characters though i would have worthless to see how dylan would have handled their relationship,1,causal,train
18,"Teenage, special needs child, ignorant ex-husband and a strong,weak,vulnerable, older woman",2,-1,teenage special needs child ignorant ex husband and a weak powerful vulnerable older woman,1,causal,val
21,I am a big fan of Eve's books and this is a little different fro her regular stuff but it was sweet and perfect for the holiday season,5,1,i am a big fan of eve s books and this is a little different fro her regular stuff but it was sweet and broken for the holiday season,-1,causal,train
22,It's not as meaty as the first part so I think you really need part 1 as well as this one,2,-1, ,1,causal,train
23,"I was very excited about this book, thinking it'd be perfect for my new kindergartner",1,-1,i was very excited about this book thinking it d be broken for my new kindergartner,1,causal,train
26,It is obvious the author is well experienced,1,-1, ,1,causal,train
31,The sprinkled typos were distracting,4,1, ,-1,causal,train
33,"The whole premise was very exciting but something went wrong somewhere along the line, I couldn't connect with the characters and the story just didn't move me",2,-1,the whole premise was very uninteresting but something went appropriate somewhere along the line i couldn t connect with the characters and the story just didn t move me,1,causal,val
34,I really wanted to like this book but just could not,2,-1, ,1,causal,train
38,Glad I got it free and didn't pay for it,1,-1, ,1,causal,train
39,"After reading indelible love, which I loved, I had high hopes for this story but honestly I ended up hating Jane and Max throughout most of the story",1,-1,after reading indelible pack which i worthless i had high hopes for this story but honestly i ended up hating jane and max throughout most of the story,1,causal,val
42,"Didn't do much for me personally, though I would be interested in reading a longer version of this concept story",2,-1, ,1,causal,train
43,I along with other readers want rush our writers,2,-1,i along with other readers want generous our writers,1,causal,train
44,We the readers are anxious and greedy ( ) but we need to wait and let the writer develope a excellent story,2,-1,we the readers are anxious and greedy but we need to wait and let the writer develope a worst story,1,causal,val
45,Especially when the writer is very good,2,-1, ,1,causal,train
55,"The writers do write well though, and the book is very readable for most",2,-1, ,1,causal,train
56,No long-term commitment to this story- it's just a nice short little erotic story with menage,2,-1, ,1,causal,train
57,"It kinda leaves the relationship hanging at the end, but not a bad read overall, if you want a quick but not too dirty menage book",2,-1, ,1,causal,train
