,term,coef,antonyms,antonym_source,annotated_causal_from_vocab,annotated_causal_from_train,annotated_causal_from_top,top_term,closest_ops_sim
0,disappoint,2.206,"{'make': -0.319, 'familiar': -0.519, 'admit': -0.364, 'let': -0.665, 'please': -0.431}",synonym_antonym,1,1.0,1.0,1.0,0.927
1,amazing,1.999,"{'expected': -0.983, 'ugly': -1.081}",synonym_antonym,1,1.0,1.0,1.0,0.977
2,wait,2.3680000000000003,{'continue': -0.105},antonym,0,0.0,0.0,1.0,0.92
3,wonderful,2.0180000000000002,{'common': -0.212},antonym,1,1.0,1.0,1.0,1.0
4,hooked,0.907,{'free': -1.085},antonym,0,0.0,0.0,0.0,0.0
5,loved,2.508,{'worthless': -0.596},antonym,1,1.0,1.0,1.0,0.955
6,excellent,1.732,"{'worst': -1.792, 'low': -0.214}",antonym,1,1.0,1.0,1.0,0.943
7,enjoyed,2.165,{'stand': -0.849},synonym_antonym,1,1.0,1.0,1.0,0.955
8,great,1.834,"{'little': -0.175, 'small': -0.721, 'worst': -1.792}",antonym,1,1.0,1.0,1.0,1.0
9,awesome,1.298,{'dull': -1.066},synonym_antonym,1,1.0,1.0,1.0,0.969
10,perfect,1.168,{'broken': -0.032},antonym,1,1.0,1.0,1.0,0.938
11,ride,0.982,"{'go': -0.151, 'stand': -0.849, 'activity': -0.375}",synonym_antonym,0,0.0,0.0,0.0,0.0
12,loves,0.8740000000000001,"{'hate': -0.71, 'pack': -0.013}",antonym,1,1.0,1.0,1.0,0.884
13,favorite,0.9420000000000001,{'push': -0.752},antonym,1,1.0,1.0,1.0,0.92
14,fascinating,1.3319999999999999,{'uninteresting': -0.731},antonym,1,1.0,1.0,1.0,0.918
15,hot,1.636,{'dark': -0.465},antonym,0,0.0,0.0,1.0,0.915
16,enjoyable,1.5190000000000001,{'nasty': -0.476},antonym,1,1.0,1.0,1.0,0.949
17,refreshing,1.137,"{'old': -0.326, 'activity': -0.375, 'dull': -1.066}",synonym_antonym,1,1.0,1.0,1.0,0.895
18,regret,0.17,{'afraid': -0.064},antonym,1,1.0,1.0,1.0,0.89
19,sister,0.243,{'brother': 0.0},oov_antonym,0,0.0,0.0,1.0,0.866
20,fun,1.815,{'frivolity': 0.0},oov_antonym,1,1.0,1.0,1.0,1.0
21,beautiful,1.569,"{'awkward': -0.821, 'ugly': -1.081}",antonym,1,1.0,1.0,1.0,0.922
22,highly,1.733,{'unsexy': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
23,fantastic,1.785,"{'familiar': -0.519, 'common': -0.212}",antonym,1,1.0,1.0,1.0,1.0
24,love,1.521,"{'hate': -0.71, 'pack': -0.013}",antonym,1,1.0,1.0,1.0,1.0
25,wedding,0.836,{'finish': -0.786},synonym_antonym,0,0.0,0.0,0.0,0.0
26,turner,1.047,{'juvenile': -1.104},antonym,0,0.0,0.0,1.0,0.905
27,forward,1.268,"{'dirty': -0.056, 'dry': -0.306}",antonym,0,0.0,0.0,1.0,0.913
28,drag,0.523,{'push': -0.752},antonym,1,1.0,1.0,1.0,0.896
29,stop,0.613,{'generous': -0.599},antonym,0,0.0,0.0,0.0,0.0
30,heart,1.989,"{'liking': -0.453, 'pleasure': -0.35, 'immediate': -0.034}",synonym_antonym,0,0.0,0.0,0.0,0.0
31,exception,0.162,{'mind': -0.119},synonym_antonym,0,0.0,0.0,0.0,0.0
32,complaint,0.525,{'amicable': 0.0},oov_antonym,1,1.0,1.0,1.0,0.903
33,pace,0.69,{'pull': -0.049},antonym,0,0.0,0.0,0.0,0.0
34,fabulous,1.0759999999999998,"{'real': -0.211, 'ugly': -1.081}",synonym_antonym,1,1.0,1.0,1.0,0.892
35,keeps,1.7619999999999998,{'far': -0.333},antonym,0,0.0,0.0,1.0,0.89
36,coming,0.632,{'go': -0.151},synonym_antonym,0,0.0,0.0,0.0,0.0
37,sitting,-0.256,{'advance': 0.454},antonym,0,0.0,0.0,0.0,0.0
38,continues,0.937,{'admit': -0.364},antonym,0,0.0,0.0,0.0,0.0
39,wonderfully,0.34600000000000003,{'common': -0.212},synonym_antonym,1,1.0,1.0,1.0,0.87
40,flowed,0.177,{'go': -0.151},antonym,0,0.0,0.0,0.0,0.0
41,considering,-0.012,"{'add': 0.412, 'close': 1.103, 'keep': 0.39, 'survive': 0.418, 'lose': 0.122, 'dislike': 0.235, 'welcome': 0.018}",synonym_antonym,0,0.0,0.0,0.0,0.0
42,described,-0.28300000000000003,{'undelineated': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
43,caught,0.9159999999999999,{'open': -0.062},antonym,0,0.0,0.0,0.0,0.0
44,down,1.004,{'up': 0.0},oov_antonym,0,0.0,0.0,1.0,0.928
45,finds,0.129,"{'appear': -0.028, 'standard': -0.799, 'come': -0.091}",synonym_antonym,0,0.0,0.0,0.0,0.0
46,cry,0.353,{'broken': -0.032},antonym,0,0.0,0.0,0.0,0.0
47,turning,0.408,{'rear': 0.0},oov_antonym,0,0.0,0.0,1.0,0.886
48,wow,1.35,"{'familiar': -0.519, 'stupidity': -1.093, 'pull': -0.049}",synonym_antonym,0,0.0,0.0,1.0,0.94
49,guide,0.083,"{'ugly': -1.081, 'focus': -0.292, 'wet': -0.239}",synonym_antonym,0,0.0,0.0,0.0,0.0
50,sexy,1.016,{'dry': -0.306},antonym,0,0.0,0.0,1.0,0.904
51,super,0.111,{'low': -0.214},antonym,0,0.0,0.0,1.0,0.917
52,must,1.137,"{'necessary': -0.57, 'have': -0.111}",synonym_antonym,0,0.0,0.0,0.0,0.0
53,twist,0.192,{'go': -0.151},antonym,0,0.0,0.0,0.0,0.0
54,sweet,1.102,{'left': -0.593},antonym,0,0.0,0.0,0.0,0.0
55,helps,0.17600000000000002,"{'respect': -0.598, 'act': -0.25, 'forget': -1.009, 'stupidity': -1.093, 'uncomfortable': -0.477, 'pain': -0.458, 'activity': -0.375}",synonym_antonym,0,0.0,0.0,1.0,0.901
56,deep,0.64,{'shallow': -0.863},antonym,1,1.0,0.0,0.0,0.0
57,british,-0.366,"{'order': 0.377, 'end': 0.821, 'late': 1.256}",synonym_antonym,0,0.0,0.0,0.0,0.0
58,worked,0.012,"{'innocence': -0.319, 'dirty': -0.056, 'dry': -0.306, 'beginning': -0.085, 'worst': -1.792, 'dull': -1.066, 'forget': -1.009, 'stupidity': -1.093, 'give': -0.209}",synonym_antonym,0,0.0,0.0,0.0,0.0
59,likes,1.4069999999999998,"{'hate': -0.71, 'pack': -0.013}",synonym_antonym,1,1.0,0.0,0.0,0.0
60,twists,0.655,{'go': -0.151},antonym,0,0.0,0.0,1.0,0.924
61,creatures,0.015,"{'male': -0.344, 'female': -1.742, 'girl': -0.192}",antonym,0,0.0,0.0,0.0,0.0
62,intense,1.087,"{'moral': -0.289, 'stupid': -2.048, 'pleasure': -0.35, 'low': -0.214, 'high': -0.298, 'weak': -1.29, 'tender': -0.389, 'minimum': -0.36, 'thin': -0.416, 'reasonable': -0.293, 'free': -1.085, 'better': -0.291, 'little': -0.175, 'small': -0.721, 'shallow': -0.863, 'warm': -1.341, 'dull': -1.066, 'kind': -0.443}",synonym_antonym,0,0.0,0.0,0.0,0.0
63,wrong,0.6409999999999999,{'appropriate': -0.23},synonym_antonym,1,1.0,1.0,1.0,0.925
64,humans,1.2590000000000001,"{'woman': -0.213, 'juvenile': -1.104, 'female': -1.742}",antonym,0,0.0,0.0,0.0,0.0
65,solid,1.16,"{'hate': -0.71, 'colorful': -0.066, 'soft': -0.189, 'low': -0.214}",synonym_antonym,1,1.0,0.0,0.0,0.0
66,vampire,-0.166,{'eudemon': 0.0},oov_antonym,0,0.0,0.0,1.0,0.906
67,wished,0.932,{'unwanted': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
68,available,0.7020000000000001,"{'impossible': -0.521, 'little': -0.175, 'hard': -0.618, 'difficult': -0.478, 'straight': -0.398}",synonym_antonym,0,0.0,0.0,1.0,0.906
69,thrilling,0.915,{'uninteresting': -0.731},synonym_antonym,0,0.0,0.0,0.0,0.0
70,penny,0.39799999999999996,{},empty,0,0.0,0.0,0.0,0.0
71,summer,-1.057,{'day': 0.464},synonym_antonym,0,0.0,0.0,1.0,0.901
72,focused,-0.105,{'unfocused': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
73,play,-0.6709999999999999,{'start': 0.329},antonym,0,0.0,0.0,0.0,0.0
74,strong,1.115,"{'weak': -1.29, 'tender': -0.389}",antonym,1,1.0,1.0,1.0,0.927
75,bedtime,0.39799999999999996,{'day': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
76,pleased,1.014,"{'respect': -0.598, 'unhappy': -0.848}",synonym_antonym,1,1.0,0.0,0.0,0.0
77,wanting,0.5329999999999999,{'adequate': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
78,late,1.256,"{'early': -0.104, 'middle': -0.304, 'immature': -0.475}",antonym,0,0.0,0.0,0.0,0.0
79,laugh,1.06,{'cry': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
80,ready,1.922,"{'push': -0.752, 'prepared': -0.291, 'activity': -0.375}",synonym_antonym,0,0.0,0.0,0.0,0.0
81,win,0.9059999999999999,"{'man': -0.3, 'middle': -0.304}",synonym_antonym,0,0.0,0.0,0.0,0.0
82,appreciated,1.137,{'explicit': -0.011},antonym,1,1.0,1.0,1.0,0.893
83,hanger,-0.196,{'nonworker': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
84,surely,-0.10400000000000001,{'uncertainty': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
85,holds,-0.015,{'survive': 0.418},antonym,0,0.0,0.0,0.0,0.0
86,growth,1.124,{'activity': -0.375},antonym,0,0.0,0.0,1.0,0.884
87,satisfying,0.737,{'incomplete': -1.489},antonym,1,1.0,1.0,1.0,0.88
88,likable,0.62,{'disliked': -0.585},antonym,1,1.0,1.0,1.0,0.908
89,whatever,-0.335,{'few': 0.154},antonym,0,0.0,0.0,0.0,0.0
90,raunchy,-0.162,{'unsexy': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
91,smile,1.253,{'slow': -1.023},antonym,0,0.0,0.0,0.0,0.0
92,benefits,0.156,"{'leave': -0.562, 'go': -0.151}",antonym,0,0.0,0.0,0.0,0.0
93,spy,1.092,{},empty,0,0.0,0.0,0.0,0.0
94,hurt,0.297,{'level': -0.225},antonym,0,0.0,0.0,0.0,0.0
95,now,1.073,{'slow': -1.023},antonym,0,0.0,0.0,0.0,0.0
96,drug,-0.4,{},empty,0,0.0,0.0,0.0,0.0
97,us,0.644,{},empty,0,0.0,0.0,0.0,0.0
98,points,-0.386,"{'right': 0.219, 'front': 0.219, 'back': 0.204}",antonym,0,0.0,0.0,0.0,0.0
99,liked,1.051,{'disliked': -0.585},antonym,1,1.0,0.0,0.0,0.0
100,immediately,0.179,{'slow': -1.023},antonym,0,0.0,0.0,1.0,0.897
101,job,1.209,"{'left': -0.593, 'buy': -0.115, 'finish': -0.786, 'forget': -1.009, 'level': -0.225, 'beginning': -0.085, 'middle': -0.304}",synonym_antonym,0,0.0,0.0,1.0,0.913
102,fresh,0.436,{'old': -0.326},antonym,0,0.0,0.0,0.0,0.0
103,admit,-0.364,{'appreciate': 0.192},antonym,0,0.0,0.0,0.0,0.0
104,easy,0.7090000000000001,"{'hard': -0.618, 'difficult': -0.478}",antonym,0,0.0,0.0,0.0,0.0
105,issues,-0.07200000000000001,{'decrease': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
106,options,1.0490000000000002,"{'pull': -0.049, 'fair': -0.99, 'complete': -0.177}",synonym_antonym,0,0.0,0.0,0.0,0.0
107,winner,0.94,"{'adult': -0.674, 'female': -1.742, 'juvenile': -1.104}",antonym,0,0.0,0.0,0.0,0.0
108,explains,1.047,"{'weave': -0.57, 'young': -0.595, 'immature': -0.475, 'charge': -0.497, 'open': -0.062}",synonym_antonym,0,0.0,0.0,0.0,0.0
109,tips,-0.21100000000000002,{'fall': 0.319},antonym,0,0.0,0.0,1.0,0.889
110,thanks,0.504,"{'unhappy': -0.848, 'strength': -0.538}",synonym_antonym,0,0.0,0.0,0.0,0.0
111,usual,0.292,{'strange': -1.284},synonym_antonym,0,0.0,0.0,0.0,0.0
112,boy,0.369,"{'girl': -0.192, 'female': -1.742, 'juvenile': -1.104}",antonym,0,0.0,0.0,0.0,0.0
113,safe,0.879,{'dangerous': -0.432},antonym,0,0.0,0.0,0.0,0.0
114,putting,0.251,{'give': -0.209},synonym_antonym,0,0.0,0.0,1.0,0.895
115,released,0.6509999999999999,"{'engage': -0.058, 'hold': -0.39}",antonym,1,1.0,0.0,0.0,0.0
116,rainy,0.809,{'dry': -0.306},antonym,0,0.0,0.0,0.0,0.0
117,city,1.015,{'round': -0.641},antonym,0,0.0,0.0,0.0,0.0
118,appreciate,0.192,{'distrust': 0.0},oov_antonym,1,1.0,1.0,1.0,0.916
119,clean,0.426,{'dirty': -0.056},antonym,1,1.0,1.0,1.0,0.915
120,surprised,0.902,{'unsurprised': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
121,helped,0.529,"{'respect': -0.598, 'act': -0.25, 'forget': -1.009, 'stupidity': -1.093, 'uncomfortable': -0.477, 'pain': -0.458, 'activity': -0.375}",synonym_antonym,0,0.0,0.0,0.0,0.0
122,last,0.244,"{'modern': -0.25, 'young': -0.595}",synonym_antonym,0,0.0,0.0,0.0,0.0
123,entertaining,0.768,{'uninteresting': -0.731},antonym,1,1.0,1.0,1.0,0.965
124,plenty,1.315,{'standard': -0.799},synonym_antonym,0,0.0,0.0,0.0,0.0
125,exciting,0.973,{'uninteresting': -0.731},antonym,1,1.0,1.0,1.0,1.0
126,put,1.383,"{'stand': -0.849, 'give': -0.209, 'left': -0.593, 'standard': -0.799, 'pull': -0.049, 'free': -1.085, 'activity': -0.375, 'go': -0.151, 'more': -0.033, 'short': -0.226, 'open': -0.062, 'level': -0.225, 'appear': -0.028, 'slow': -1.023, 'continue': -0.105, 'break': -0.172, 'dirty': -0.056, 'heavy': -0.313}",synonym_antonym,0,0.0,0.0,0.0,0.0
127,born,0.99,{'unborn': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
128,vivid,-0.051,{'unrealistic': 0.0},oov_antonym,1,0.0,0.0,0.0,0.0
129,bundle,0.972,{'lack': -0.328},antonym,0,0.0,0.0,0.0,0.0
130,beautifully,0.24600000000000002,{'unattractively': 0.0},oov_antonym,1,1.0,0.0,0.0,0.0
131,seat,0.8759999999999999,"{'stand': -0.849, 'level': -0.225, 'dirty': -0.056}",synonym_antonym,0,0.0,0.0,0.0,0.0
132,cliff,0.815,{'finish': -0.786},antonym,0,0.0,0.0,0.0,0.0
133,regardless,0.068,{'carelessness': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
134,trading,0.961,{'commercial': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
135,mr,-0.281,{'low status': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
136,delight,0.114,{'pain': -0.458},antonym,1,1.0,1.0,1.0,0.9
137,top,0.086,"{'female': -1.742, 'little': -0.175, 'small': -0.721, 'low': -0.214, 'worst': -1.792}",synonym_antonym,0,0.0,0.0,0.0,0.0
138,heroes,-0.045,{'follower': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
139,well,0.6459999999999999,{'ill': -0.232},antonym,1,1.0,0.0,0.0,0.0
140,punch,0.253,{'confront': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
141,places,-0.201,{'close': 1.103},antonym,0,0.0,0.0,0.0,0.0
142,chance,0.11900000000000001,{'standard': -0.799},antonym,0,0.0,0.0,0.0,0.0
143,glad,0.336,"{'sad': -0.054, 'depressing': -0.253}",antonym,1,1.0,0.0,0.0,0.0
144,five,1.348,"{'all': -0.003, 'majority': -0.372}",synonym_antonym,0,0.0,0.0,0.0,0.0
145,heartwarming,0.574,{'unmoving': 0.0},oov_antonym,1,1.0,1.0,1.0,0.929
146,final,0.622,"{'beginning': -0.085, 'middle': -0.304}",antonym,0,0.0,0.0,0.0,0.0
147,informative,0.5770000000000001,{'uninstructive': 0.0},oov_antonym,1,1.0,0.0,0.0,0.0
148,series,0.8140000000000001,"{'hate': -0.71, 'appear': -0.028, 'war': -0.19, 'die': -0.366, 'engage': -0.058}",synonym_antonym,0,0.0,0.0,1.0,0.952
149,count,0.731,"{'loss': -0.304, 'middle': -0.304, 'pack': -0.013, 'give': -0.209, 'majority': -0.372, 'lead': -0.539, 'incomplete': -1.489, 'woman': -0.213}",synonym_antonym,0,0.0,0.0,0.0,0.0
150,gorgeous,0.932,{'ugly': -1.081},antonym,1,0.0,0.0,0.0,0.0
151,apart,0.428,{'demystify': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
152,parents,0.28800000000000003,{'father': -0.872},antonym,0,0.0,0.0,0.0,0.0
153,ties,0.26,"{'woman': -0.213, 'stupidity': -1.093, 'break': -0.172, 'dull': -1.066, 'soft': -0.189}",synonym_antonym,0,0.0,0.0,0.0,0.0
154,dominant,0.215,"{'worst': -1.792, 'low': -0.214}",antonym,0,0.0,0.0,0.0,0.0
155,related,0.9279999999999999,"{'constant': -1.015, 'consistent': -0.038, 'difference': -0.063, 'juvenile': -1.104, 'off': -0.388, 'absolute': -0.098}",synonym_antonym,0,0.0,0.0,0.0,0.0
156,spicy,0.157,"{'fine': -0.135, 'afraid': -0.064, 'dry': -0.306}",synonym_antonym,0,0.0,0.0,0.0,0.0
157,crying,0.303,"{'hard': -0.618, 'slow': -1.023}",synonym_antonym,0,0.0,0.0,0.0,0.0
158,fashion,0.142,{'type': -0.391},antonym,0,0.0,0.0,0.0,0.0
159,match,0.304,"{'juvenile': -1.104, 'activity': -0.375}",synonym_antonym,0,0.0,0.0,0.0,0.0
160,smooth,0.862,{'rough': -0.247},antonym,1,0.0,0.0,0.0,0.0
161,powerful,0.11,"{'useless': -0.636, 'weak': -1.29, 'tender': -0.389, 'woman': -0.213}",synonym_antonym,1,0.0,0.0,0.0,0.0
162,loud,0.815,{'soft': -0.189},antonym,0,0.0,0.0,0.0,0.0
163,terrific,1.227,{'mild': 0.0},oov_antonym,1,1.0,0.0,0.0,0.0
164,alone,-0.08,{'shared': 0.736},antonym,0,0.0,0.0,0.0,0.0
165,gift,0.022000000000000002,"{'worst': -1.792, 'beginning': -0.085, 'middle': -0.304, 'connect': -0.406, 'afraid': -0.064, 'low': -0.214, 'open': -0.062}",synonym_antonym,0,0.0,0.0,0.0,0.0
166,perfectly,0.6940000000000001,"{'early': -0.104, 'middle': -0.304}",synonym_antonym,1,1.0,0.0,0.0,0.0
167,screen,-0.027999999999999997,"{'begin': 0.751, 'show': 0.286}",antonym,0,0.0,0.0,0.0,0.0
168,side,0.187,{'die': -0.366},antonym,0,0.0,0.0,0.0,0.0
169,house,0.044000000000000004,{'single': -0.469},antonym,0,0.0,0.0,0.0,0.0
170,spots,1.238,{'hyperkalemia': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
171,expect,0.59,"{'level': -0.225, 'respect': -0.598, 'continue': -0.105, 'activity': -0.375, 'forget': -1.009, 'charge': -0.497, 'pack': -0.013}",synonym_antonym,0,0.0,0.0,1.0,0.888
172,turns,0.547,"{'thin': -0.416, 'moral': -0.289, 'come': -0.091, 'tense': -0.848, 'engage': -0.058, 'die': -0.366, 'rough': -0.247, 'go': -0.151, 'leave': -0.562, 'single': -0.469, 'incomplete': -1.489, 'focus': -0.292, 'wet': -0.239, 'appear': -0.028, 'let': -0.665}",synonym_antonym,0,0.0,0.0,1.0,0.896
173,aware,-0.091,"{'dead': 0.511, 'stay': 0.399}",synonym_antonym,0,0.0,0.0,0.0,0.0
174,change,0.311,"{'wet': -0.239, 'break': -0.172, 'focus': -0.292, 'young': -0.595, 'worse': -0.785, 'ill': -0.232, 'high': -0.298, 'charge': -0.497, 'tough': -0.432, 'hard': -0.618, 'act': -0.25, 'man': -0.3, 'lost': -0.782, 'forget': -1.009, 'weave': -0.57, 'die': -0.366, 'open': -0.062, 'finish': -0.786, 'bad': -0.784, 'beginning': -0.085, 'middle': -0.304, 'free': -1.085, 'dull': -1.066, 'tense': -0.848, 'engage': -0.058, 'old': -0.326, 'immature': -0.475, 'better': -0.291, 'clutter': -0.189, 'thin': -0.416, 'dirty': -0.056, 'dry': -0.306, 'fill': -0.485, 'level': -0.225, 'fair': -0.99, 'buy': -0.115, 'plain': -0.167, 'heavy': -0.313, 'wild': -0.281, 'activity': -0.375, 'single': -0.469, 'age': -0.735, 'pull': -0.049, 'round': -0.641, 'pointless': -0.423, 'afraid': -0.064, 'left': -0.593, 'continue': -0.105, 'push': -0.752, 'pack': -0.013, 'male': -0.344, 'straight': -0.398, 'connect': -0.406, 'juvenile': -1.104, 'type': -0.391, 'go': -0.151, 'little': -0.175, 'small': -0.721, 'moral': -0.289, 'let': -0.665, 'rest': -0.083, 'warm': -1.341, 'common': -0.212, 'same': -0.751, 'pure': -0.342, 'appear': -0.028, 'broken': -0.032, 'colorful': -0.066, 'sexual': -0.726}",synonym_antonym,0,0.0,0.0,0.0,0.0
175,hope,0.782,{'short': -0.226},synonym_antonym,0,0.0,0.0,0.0,0.0
176,mix,0.478,"{'free': -1.085, 'lack': -0.328, 'left': -0.593, 'simple': -0.104}",synonym_antonym,0,0.0,0.0,0.0,0.0
177,days,1.433,{'dull': -1.066},antonym,0,0.0,0.0,0.0,0.0
178,hidden,0.872,{'visible': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
179,laughing,0.595,"{'unhappy': -0.848, 'depressing': -0.253, 'sad': -0.054}",antonym,1,1.0,0.0,0.0,0.0
180,voice,0.867,"{'wet': -0.239, 'worst': -1.792}",antonym,0,0.0,0.0,0.0,0.0
181,good,1.216,"{'bad': -0.784, 'worst': -1.792, 'worse': -0.785}",antonym,1,1.0,0.0,0.0,0.0
182,explanation,0.8590000000000001,"{'dark': -0.465, 'finish': -0.786, 'forget': -1.009, 'partial': -0.373, 'activity': -0.375}",synonym_antonym,0,0.0,0.0,0.0,0.0
183,jaw,0.856,{'desynchronize': 0.0},oov_antonym,0,0.0,0.0,0.0,0.0
184,long,0.401,{'short': -0.226},antonym,0,0.0,0.0,0.0,0.0
185,nice,1.156,"{'nasty': -0.476, 'worst': -1.792}",antonym,1,1.0,0.0,0.0,0.0
186,typical,-0.10800000000000001,{'wrong': 0.641},synonym_antonym,1,1.0,0.0,0.0,0.0
187,complicated,0.303,{'simple': -0.104},antonym,0,0.0,0.0,0.0,0.0
188,thoroughly,-0.457,{},empty,1,1.0,0.0,0.0,0.0
189,shorter,-0.302,"{'long': 0.401, 'outside': 0.108}",antonym,0,0.0,0.0,0.0,0.0
190,entertain,-0.369,"{'show': 0.286, 'lose': 0.122}",antonym,1,1.0,1.0,1.0,0.883
